place_id,name,address,latitude,longitude,rating,user_ratings_total,price_level,cuisine,types,phone,website,url,scrape_timestamp
ChIJ7_5nfwDlwjsRoUzNCIEnjA4,Hotel shree krushna pure veg,"Jejuri - Morgaon - Baramati Rd, near akshay industries, Jejuri, Morgaon",18.331609,74.0559186,4.6,100.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:19:15.143867
ChIJeZZ6bUDlwjsR7Aj4KoMEgcw,SWAMI Pure Veg,"raskar mla, Hadapsar - Saswad - Jejuri Rd, Khalad",18.3187745,74.0748217,3.6,690.0,,Indian,"lodging, restaurant, food, point_of_interest, establishment",+91 93560 26757,,,2025-10-18T11:19:16.361180
ChIJhS00H-mTwjsRtBRTV60JwIM,Sinhagad Dhaba,"9Q85+62X, Sinhagad Ghat Rd, Thoptewadi",18.3656107,73.757594,4.1,95.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 80076 20061,,,2025-10-18T11:19:22.074850
ChIJhXF8Za6TwjsRwyGVkuCcSlA,Shivganga Farms | THE BEST RESTAURANT IN PUNE,"Kondhanpur - Kalyan Rd, Pune",18.3459307,73.78521060000001,4.8,18.0,,Indian,"campground, bar, lodging, park, restaurant, point_of_interest, food, establishment",+91 82085 61911,,,2025-10-18T11:19:23.124223
ChIJ-9TQpaGTwjsRY3uNX2BQY1E,Sihagad Darbar Hotel,"At Awasarewadi Post Kondhanpur, Tal, Haveli, Dist, Avasare Wadi, Ghera Sinhagad",18.363829,73.7813051,4.7,7.0,,Indian,"restaurant, point_of_interest, food, establishment",+91 88888 44324,,,2025-10-18T11:19:23.394534
ChIJhfd6XQCTwjsRnpTdMpjFv_w,Hotel Atharv,"9R26+797, Arvi, Awasare Nagar",18.3506474,73.81086429999999,5.0,1.0,,Indian,"restaurant, point_of_interest, food, establishment",,,,2025-10-18T11:19:23.672220
ChIJdYGoH5iTwjsRnbfuyJjVoCw,Sayali Dhaba Akka,"9Q7M+C82, Pune",18.3635214,73.7833334,4.1,26.0,,Indian,"restaurant, point_of_interest, food, establishment",,,,2025-10-18T11:19:23.970811
ChIJ96zXXCKTwjsRJBweAmHCErM,Hotel Sinhgad Palace Best Veg Non veg Thali Family Restaurant,"At-Post-Arvi,Tal-Bhor, Dist, Ranje",18.3503304,73.82004420000001,4.2,391.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 97641 27259,https://kuula.co/share/collection/7cYMn?logo=1&info=1&fs=1&vr=0&sd=1&thumbs=1,,2025-10-18T11:19:25.277861
ChIJeaSiWKTtwjsRKStYWtkg-yw,"Hotel Chul Mutton - Sagar Takawale Group of Hotels, Pune - Satara Road, Near Kailas Bhel, Khed Shivapur, Pune","besides Kailas Express Inn, Opposite Konde Petrol Pump Khed Shivapur, Pune - Satara Rd, Pune",18.3555942,73.8524999,4.6,8676.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 86868 85555,,,2025-10-18T11:19:26.617168
ChIJ51HDm63twjsRNmZeDalRS5k,Bhiwandi Darbar,"8VV3+83, Khed Shivapur, Ramnagar",18.3433125,73.8526875,3.6,1077.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 72788 23823,,,2025-10-18T11:19:26.952183
ChIJPdXcrdfswjsRPQwEQvKWubw,Jai Bhavani Biryani House,"8VW2+XCQ, National Highway 4, Ramnagar",18.3473262,73.8510498,4.2,3400.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 98222 43169,,,2025-10-18T11:19:27.275765
ChIJJ_pKOADtwjsRqL7iraUDBRM,Ayodhya Pure Veg Family Restaurant,"Khed Shivapur Bag, Pune - Satara Rd, opposite Shriram Petrolium, Velu, Pune",18.3581793,73.852964,4.4,344.0,,Indian,"restaurant, lodging, food, point_of_interest, establishment",+91 93595 05799,http://www.ayodhyarestaurant.in/,,2025-10-18T11:19:27.589829
ChIJtwtzbxntwjsR_VJHPwmgJ7c,HOTEL SHETKARI WADA,"At post velu, Taluka Bhor, zhila, pune",18.3667539,73.85571770000001,3.9,934.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 77440 63030,,,2025-10-18T11:19:27.894903
ChIJ4UD_IrvqwjsRcwajDeZxfo0,Hotel Jagdamba,Pune Banglore Highway KhedShivapur,18.3450314,73.85134590000001,4.2,38940.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 97623 12436,,,2025-10-18T11:19:28.168635
ChIJYSZBKDLtwjsRyf9MP7s7KzQ,Royal Biryani Khedshivapur,"9V32+MXQ, Ramnagar",18.3542856,73.8525405,4.9,27.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 88560 41521,,,2025-10-18T11:19:28.453923
ChIJY8h7OdDswjsRQ5724W0ftnU,Kailas Bhel,"Taluka Haveli, Pune-Satara Road, Opp. HP Petrol Pump Konde, Khed-Shivapur (Baug",18.3550205,73.85234299999999,4.1,14643.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 97300 88217,,,2025-10-18T11:19:28.730843
ChIJ5w-BdyjtwjsRbSaE8raHPq4,Hotel Kandil,"Kasurdi fata,khed shivapur 8VV3+79Q Satara road , Mumbai, beglore highway, Pune",18.3432216,73.8534749,4.2,911.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 90110 85766,,,2025-10-18T11:19:29.169978
ChIJWYWwy9DswjsRL9v2f2IpDXg,Hotel New Vilas,"9V22+CQQ, Khedshivapur, Pune",18.3510814,73.8519752,3.9,1149.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 96730 89807,,,2025-10-18T11:19:29.471635
ChIJe5IY0tDswjsRfmXdiWi2F24,Palange Biryani,"Pune - Bengaluru Hwy, Ramnagar",18.3491199,73.8513358,3.8,2306.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 98506 15155,,,2025-10-18T11:19:29.882192
